"","Hybrid_ID","Nfinal","Phyllochron","Leaf_tip_emerg","First_LiguloChrone","tt_firstligule_sinceapp","c","a","potKernelWt","GNmax","GrainNoMax","Res.Tnight","resp.Ri","GN15cor","rRAD"
"72","F04701_H",15,0.0193836875001823,3.04596866210276,0.0123824925858231,61.7329271962333,5.47397587826737,4.6215654136562,432.488564700844,534.99846668177,4515.38705879414,-377.306243326417,4875.53625838616,8.56927925121234,NA
"73","F04702_H",15,0.0221022517054775,3.38053068837436,0.0144434978896579,63.4633521938358,5.71351667646702,5.123821603737,401.018103487461,554.896844686989,4683.32936915819,-396.305941147708,4812.73365926072,7.84711269964204,0.89
"74","F05101_H",16,0.0240754053315713,3.27479225497132,0.0165140268555013,75.8365561493358,6.24948878601639,5.42502907387043,386.852926278447,639.437788564203,4426.2072250335,-382.659412293903,5195.91638770565,7.29689036087084,0.2
"75","F05404_H",16,0.0234531141385017,3.30207408761047,0.0164354756837659,64.8052086976113,5.1731994077222,4.52050286826837,360.251713135316,771.900863753061,4609.13695132648,-318.54486338603,5136.1353872006,9.41921397891939,0.6
"76","F1808_H",16,0.0213900740693202,3.5968378998606,0.0150370096641281,49.8969895928041,4.49170021702771,4.93164298327945,374.64490266563,566.606635388284,3934.97715193774,-286.514324177404,4457.2274118947,6.30632881245654,NA
"77","F1890_H",16,0.0227802872570291,3.47841461974434,0.0163954197133681,68.6421374051755,5.05833322908529,4.42612551318132,365.570630034508,582.615360687031,4277.55212277545,-333.389069191687,5095.44674627067,7.17502017999549,NA
"78","F218_H",15,0.0259248724231205,3.16401346796052,0.0163954197133681,68.6421374051755,5.64042539750967,5.04685521195544,387.468571339233,537.703293402138,3492.28183920874,-281.121589735703,3912.54460210736,3.62689786694443,0.74
"79","F252_H",15,0.0248832006543984,3.6477882411135,0.0157336648975582,42.9048625746676,6.49210866564518,4.97266710407485,334.471586104988,397.971772654039,3020.89441722759,-240.368218233384,3851.53171587105,5.87100987596106,0.65
"80","F353_H",15,0.023276901532822,3.37066145284859,0.015969870480281,70.7072572328565,6.04341002910536,5.63429408120135,342.408329814636,576.289011415479,4383.28618752004,-363.356003186254,4818.02064954989,6.21743394532661,0.34
"81","F354_H",15,0.0215359971482545,3.47552345593292,0.0150643300995097,60.8650568807372,4.7902209202024,4.30450331515741,318.455237506043,652.093227832966,4239.31686249467,-188.817633992699,4124.31998264482,6.5776931830181,0.65
"82","F546_H",14,0.0232105243268639,3.00455529145305,0.014023963224901,68.6291320184336,3.87262691817819,3.84468840077024,285.943193720612,484.093017356062,4085.74506648516,NA,NA,NA,NA
"83","F608_H",15,0.0223953012254934,3.31465233275059,0.0152921102590336,69.528017495823,4.54263873952271,4.35403490792451,325.044569905272,535.694884031122,4295.67051972876,-324.531542861672,5379.39955146757,10.8454868288022,0.44
"84","F618_H",16,0.0231486913061036,3.35774342395881,0.0161312279000263,66.8937826058375,4.26678429926435,4.70408802788802,391.553984489895,642.900556804429,4417.23151391437,-439.310417224515,5547.28819869916,6.27959569402004,0.32
"85","F7001_H",17,0.0248340074269765,2.97552254850631,0.0163954197133681,68.6421374051755,5.58696419966879,4.83941741313203,332.687162197375,564.264002368807,4244.5398411044,-312.937277509516,4419.34318412841,6.01498431294067,0.24
"86","F7019_H",16,0.0261969700032164,3.27123346681835,0.0157494435129443,55.7883835082225,6.3207343031338,6.01166944789678,378.896087377894,507.333571653704,3782.67505783902,-297.250248063266,4457.62747239894,6.0038733680654,0.13
