"","Hybrid_ID","Nfinal","Phyllochron","Leaf_tip_emerg","First_LiguloChrone","tt_firstligule_sinceapp","c","a","potKernelWt","GNmax","GrainNoMax","Res.Tnight","resp.Ri","GN15cor","SensiRAD","b"
"110","HMV5347_H",16,0.0257636397103023,3.48936296072736,0.016941698862914,50.1451391321967,5.30227337262506,4.55980677012655,350.062258465569,582.950056671392,3793.91526420664,-206.233160323355,4016.31225614977,6.77367155743203,0.86,-0.76911232164498
"111","HMV5405_H",17,0.022328918317757,3.6093802039689,0.0143368738977841,45.8724598261753,5.10099028576764,4.17153616939354,389.62650298131,583.720808488877,4159.52569691788,-279.44968782204,4251.68106004929,6.33010919986847,0.88,-0.753855063661188
"112","HMV5409_H",16,0.0226709822966907,3.1451013376611,0.0141655038245558,66.7569326367257,4.30374027745515,4.90335566259086,391.80479314474,494.400891728571,3957.68723242833,-278.506126044792,4383.07495671414,6.38895292361017,1.09,-0.6934235130311
"114","HMV5502_H",17,0.026884446369015,3.20314636180365,0.0156130476832458,60.6956273174626,6.49378889785738,5.01883768462718,401.447491812745,572.771380197142,4834.19044886388,-307.209064649446,4815.34712298013,7.39995025574377,0.16,-0.85942919845759
"115","I198_H",16,0.021423843490386,3.39036179496665,0.0142698996779788,54.6941504535371,5.40948799064576,4.8304809766158,310.834809032935,630.743310419911,4892.30761224976,-352.666292906186,5138.32493384714,9.26968923873423,0.87,-0.777239189690949
"116","I238_H",16,0.0216124265509265,3.25560253622445,0.0139204893653725,59.5325541093955,4.66640594549382,4.52301990007999,305.610164671441,684.976523526382,5389.50087519707,-369.963184553503,5384.80187319317,8.36732543133098,0.47,-0.720913570668432
"118","I261_H",16,0.0210304294149538,3.27084376049353,0.0131085885425611,57.2043568556763,3.76801046302735,3.93393490813667,341.082991307002,537.2085251617,4469.00078867346,-405.242260970599,5286.49807692485,7.80342567447263,0.21,-0.652815193097473
"119","I267_H",17,0.0225988839355007,3.41283130891193,0.0149578126516282,58.3820809780532,6.88843455617158,5.67006337453115,336.347432079237,550.116769850978,4303.56762363945,-248.77749837033,3683.01806785497,9.32928518902693,0.35,-0.889343339357806
"120","IDT_H",16,0.0219683897999595,3.36118833258832,0.0129047972974178,50.5923387899754,5.63158998141806,4.59391920174758,402.500653039725,465.978415715498,3473.12011288491,-280.915056133625,3980.83478200774,7.3760376584562,0.39,-0.794074520591489
"121","LAN496_H",17,0.0252085732870402,3.43663217573749,0.0175876750633378,62.3348168935213,4.75615693529842,4.56255120795003,340.837196493625,577.139455279406,4744.08632239672,-419.145866130494,4987.58521947122,7.68056480269126,0.24,-0.727716695695621
"122","LH123Ht_H",15,0.0217841678077536,3.2254535609808,0.0134746953083824,63.9621873477444,4.99778450612767,5.62245580365421,314.244737361462,820.898141869509,4818.67209277402,-430.881213106658,5924.15727907302,10.7469477838954,0.26,-0.746032065564477
"123","LH145_H",16,0.0257634876605961,3.48938686644015,0.0163796410979821,56.2790956621443,3.6933935035705,4.4541552848011,340.885202287571,636.982677785365,4176.81073531752,-345.909312306782,4837.3066793465,5.83997336694118,0.62,-0.647159227570644
"125","LH39_H",15,0.0236790200893171,3.28711313673143,0.0145662470244205,62.4585401527928,5.24383656902936,6.14903365064001,367.921364482686,630.116530018394,4349.17284891368,-448.374831807617,5749.24521386627,8.70059878744618,0.69,-0.764682811932425
"126","LH59_H",16,0.0175237975840629,3.15347456244107,0.0121570768779209,63.3953868702814,6.96040756349495,5.2271198538933,357.684539533043,592.291734860185,4998.94224221996,-296.575593828251,4605.76139490874,11.1846298721495,0.51,-0.894798893312917
"127","LH60_H",16,0.0210682622465352,3.56382718378207,0.0133785139100195,46.1374333995944,4.14186817141536,3.88745003905432,348.240021818791,682.985493743509,4521.57686894303,-291.10032009519,4903.98321515886,9.8049841353923,0.85,-0.681153607393284
"129","LH74_H",16,0.0243396846594558,3.3032414629916,0.014982850098208,60.3655729063548,3.73158871745107,4.22310880531976,368.573916553075,603.388116511228,5092.59570335476,-379.614406814022,5297.51610988735,8.22384385687613,0.46,-0.650054424782791
"130","LH82_H",16,0.0223962753642038,3.71351839116139,0.0149985330208398,28.6041089241282,4.12521452152988,3.51540281552921,316.061361163292,600.883837863639,4958.14248100384,-353.480110280306,5226.44798784401,6.86860673474252,0.07,-0.679891260731965
"131","LH93_H",16,0.0215297841367008,3.36847377104111,0.0135669430672045,61.6231440463404,3.69092196276556,4.00596506212184,328.457871525783,780.52702726461,4890.30002154761,-300.794175639906,4606.47993545482,11.4528893802992,0.78,-0.64697188477763
"132","Lo1016_H",15,0.0222578062106674,3.76318932718317,0.0139476651690076,33.8427964666058,3.32472379329778,5.22022059188587,339.408603155806,652.236073388968,5361.38052325732,-466.142640869362,6396.07993107617,7.86091553008271,0.34,-0.619214063531971
"133","Lo1026_H",16,0.0245494664872177,3.44025893213596,0.0169574774783,62.1041138034753,3.34314527949044,4.33096163074517,342.714745276364,588.032491363484,4833.62707900784,-350.024746182443,5713.07891025119,10.3290998189774,0.87,-0.620610412185376
"134","Lo1035_H",17,0.0218877554613897,3.6136335800938,0.0147991382657146,58.8787893963363,4.19769261352884,5.15378589409388,335.128333911355,720.988057546635,4753.66963027475,-350.236473218046,5055.14438988197,10.8300010438907,0.25,-0.685385100105486
"135","Lo1038_H",17,0.0214501913667317,3.56755651353897,0.014710483151478,56.8734883891432,3.88211179755635,4.00237453907067,333.003298435932,785.974083841978,6460.70696918106,-420.523754540396,5610.35013705927,11.8039222948733,0.6,-0.661464074254771
"136","Lo1056_H",16,0.0217963400702782,2.99673492146276,0.0134209839541447,65.4942876680093,6.44668818488166,4.85960991595029,353.313543232777,668.108483337847,4789.94077541673,-399.675514244179,5263.95916000317,9.39509519717487,0.63,-0.85585896441403
"137","Lo1063_H",17,0.0222976986042102,3.4315449720357,0.0147125740306343,42.7822441185843,3.45548419596102,3.90620658268891,344.080982909121,664.365223646489,4984.96104477771,-379.542142406131,5087.13957661653,7.40880397280851,0.31,-0.629125702053846
"138","Lo1087_H",17,0.0211044824331819,3.08474384441741,0.0132352043561153,53.6940153406191,4.92598443160234,4.07577478747158,352.917737803422,702.071941731171,5771.03136103023,-392.808250051478,5371.48749033459,10.5542517739849,0.09,-0.740589619915457
